label,model,barrage_profile,reasoning_effort,reasoning_summary,family,samples,correct,failures,answer_correct,format_correct,strict_correct,input_tokens,output_tokens,reasoning_tokens,cache_read_tokens,cache_write_tokens,total_tokens,estimated_cost_usd,cost_source,cost_warnings,summary_dir
Gemini 3.1 Pro Preview OR,openrouter/google/gemini-3.1-pro-preview,balanced_8x10,,,spelling_transform,10,10,0,10,10,10,264,2066,2037,0,0,2330,0.02532,runcost,,results/summaries/mega-model-sweep-20260531-0820-rescored-v2/gemini-3-1-pro-preview-openrouter-balanced_8x10-20260531-080345
Gemini 3.1 Pro Preview OR,openrouter/google/gemini-3.1-pro-preview,balanced_8x10,,,word_count,10,10,0,10,10,10,352,1402,1392,0,0,1754,0.017528,runcost,,results/summaries/mega-model-sweep-20260531-0820-rescored-v2/gemini-3-1-pro-preview-openrouter-balanced_8x10-20260531-080345
Gemini 3.5 Flash OR,openrouter/google/gemini-3.5-flash,balanced_8x10,,,arithmetic,10,10,0,10,10,10,340,1453,1425,0,0,1793,0.013587,runcost,,results/summaries/mega-model-sweep-20260531-0820-rescored-v2/gemini-3-5-flash-openrouter-balanced_8x10-20260531-080345
Gemini 3.5 Flash OR,openrouter/google/gemini-3.5-flash,balanced_8x10,,,character_count,10,10,0,10,10,10,290,2796,2786,0,0,3086,0.025599,runcost,,results/summaries/mega-model-sweep-20260531-0820-rescored-v2/gemini-3-5-flash-openrouter-balanced_8x10-20260531-080345
Gemini 3.5 Flash OR,openrouter/google/gemini-3.5-flash,balanced_8x10,,,constraint_awareness,10,10,0,10,10,10,586,2165,2155,0,0,2751,0.020364,runcost,,results/summaries/mega-model-sweep-20260531-0820-rescored-v2/gemini-3-5-flash-openrouter-balanced_8x10-20260531-080345
Gemini 3.5 Flash OR,openrouter/google/gemini-3.5-flash,balanced_8x10,,,format_compliance,10,10,0,10,10,10,386,2384,2347,0,0,2770,0.022035,runcost,,results/summaries/mega-model-sweep-20260531-0820-rescored-v2/gemini-3-5-flash-openrouter-balanced_8x10-20260531-080345
Gemini 3.5 Flash OR,openrouter/google/gemini-3.5-flash,balanced_8x10,,,negation,10,10,0,10,10,10,411,1599,1589,0,0,2010,0.0150075,runcost,,results/summaries/mega-model-sweep-20260531-0820-rescored-v2/gemini-3-5-flash-openrouter-balanced_8x10-20260531-080345
Gemini 3.5 Flash OR,openrouter/google/gemini-3.5-flash,balanced_8x10,,,ordering,10,10,0,10,10,10,369,2078,1988,0,0,2447,0.0192555,runcost,,results/summaries/mega-model-sweep-20260531-0820-rescored-v2/gemini-3-5-flash-openrouter-balanced_8x10-20260531-080345
Gemini 3.5 Flash OR,openrouter/google/gemini-3.5-flash,balanced_8x10,,,spelling_transform,10,10,0,10,10,10,264,2174,2145,0,0,2438,0.019962,runcost,,results/summaries/mega-model-sweep-20260531-0820-rescored-v2/gemini-3-5-flash-openrouter-balanced_8x10-20260531-080345
Gemini 3.5 Flash OR,openrouter/google/gemini-3.5-flash,balanced_8x10,,,word_count,10,10,0,10,10,10,352,1409,1399,0,0,1761,0.013209,runcost,,results/summaries/mega-model-sweep-20260531-0820-rescored-v2/gemini-3-5-flash-openrouter-balanced_8x10-20260531-080345
Grok 4.3 xAI,grok/grok-4.3,balanced_8x10,,,arithmetic,10,7,3,7,8,5,325,334,2438,1280,0,4377,0.00759225,xai_docs_2026-05-31,,results/summaries/mega-model-sweep-20260531-0820-rescored-v2/grok-4-3-xai-balanced_8x10-20260531-075934
Grok 4.3 xAI,grok/grok-4.3,balanced_8x10,,,character_count,10,10,0,10,9,9,280,302,4029,1280,0,5891,0.0114335,xai_docs_2026-05-31,,results/summaries/mega-model-sweep-20260531-0820-rescored-v2/grok-4-3-xai-balanced_8x10-20260531-075934
Grok 4.3 xAI,grok/grok-4.3,balanced_8x10,,,constraint_awareness,10,10,0,10,2,2,582,375,2323,1280,0,4560,0.0077285,xai_docs_2026-05-31,,results/summaries/mega-model-sweep-20260531-0820-rescored-v2/grok-4-3-xai-balanced_8x10-20260531-075934
Grok 4.3 xAI,grok/grok-4.3,balanced_8x10,,,format_compliance,10,10,0,10,10,10,383,34,2164,1280,0,3861,0.00622975,xai_docs_2026-05-31,,results/summaries/mega-model-sweep-20260531-0820-rescored-v2/grok-4-3-xai-balanced_8x10-20260531-075934
Grok 4.3 xAI,grok/grok-4.3,balanced_8x10,,,negation,10,7,3,7,6,3,405,204,1883,1280,0,3772,0.00597975,xai_docs_2026-05-31,,results/summaries/mega-model-sweep-20260531-0820-rescored-v2/grok-4-3-xai-balanced_8x10-20260531-075934
Grok 4.3 xAI,grok/grok-4.3,balanced_8x10,,,ordering,10,7,3,7,10,7,363,127,2893,1280,0,4663,0.00825975,xai_docs_2026-05-31,,results/summaries/mega-model-sweep-20260531-0820-rescored-v2/grok-4-3-xai-balanced_8x10-20260531-075934
Grok 4.3 xAI,grok/grok-4.3,balanced_8x10,,,spelling_transform,10,9,1,9,10,9,264,35,3691,1280,0,5270,0.009901,xai_docs_2026-05-31,,results/summaries/mega-model-sweep-20260531-0820-rescored-v2/grok-4-3-xai-balanced_8x10-20260531-075934
Grok 4.3 xAI,grok/grok-4.3,balanced_8x10,,,word_count,10,10,0,10,5,5,352,167,2560,1280,0,4359,0.0075135,xai_docs_2026-05-31,,results/summaries/mega-model-sweep-20260531-0820-rescored-v2/grok-4-3-xai-balanced_8x10-20260531-075934
Grok 4.20 xAI,grok/grok-4.20,balanced_8x10,,,arithmetic,10,6,4,6,4,0,393,909,4077,1152,0,6531,0.01318665,xai_docs_2026-05-31,,results/summaries/mega-model-sweep-20260531-0820-rescored-v2/grok-4-20-xai-balanced_8x10-20260531-075934
Grok 4.20 xAI,grok/grok-4.20,balanced_8x10,,,character_count,10,10,0,10,6,6,348,862,7144,1152,0,9506,0.0206804,xai_docs_2026-05-31,,results/summaries/mega-model-sweep-20260531-0820-rescored-v2/grok-4-20-xai-balanced_8x10-20260531-075934
Grok 4.20 xAI,grok/grok-4.20,balanced_8x10,,,constraint_awareness,10,10,0,10,1,1,586,763,6305,1216,0,8870,0.0186457,xai_docs_2026-05-31,,results/summaries/mega-model-sweep-20260531-0820-rescored-v2/grok-4-20-xai-balanced_8x10-20260531-075934
Grok 4.20 xAI,grok/grok-4.20,balanced_8x10,,,format_compliance,10,5,5,5,8,5,387,433,5967,1216,0,8003,0.01672695,xai_docs_2026-05-31,,results/summaries/mega-model-sweep-20260531-0820-rescored-v2/grok-4-20-xai-balanced_8x10-20260531-075934
Grok 4.20 xAI,grok/grok-4.20,balanced_8x10,,,negation,10,5,5,5,5,0,409,1109,3190,1216,0,5924,0.01150195,xai_docs_2026-05-31,,results/summaries/mega-model-sweep-20260531-0820-rescored-v2/grok-4-20-xai-balanced_8x10-20260531-075934
Grok 4.20 xAI,grok/grok-4.20,balanced_8x10,,,ordering,10,0,10,0,10,0,367,927,4273,1216,0,6783,0.01370195,xai_docs_2026-05-31,,results/summaries/mega-model-sweep-20260531-0820-rescored-v2/grok-4-20-xai-balanced_8x10-20260531-075934
Grok 4.20 xAI,grok/grok-4.20,balanced_8x10,,,spelling_transform,10,0,10,0,10,0,268,768,15805,1216,0,18057,0.0420107,xai_docs_2026-05-31,,results/summaries/mega-model-sweep-20260531-0820-rescored-v2/grok-4-20-xai-balanced_8x10-20260531-075934
Grok 4.20 xAI,grok/grok-4.20,balanced_8x10,,,word_count,10,10,0,10,4,4,484,777,3941,1088,0,6290,0.0126176,xai_docs_2026-05-31,,results/summaries/mega-model-sweep-20260531-0820-rescored-v2/grok-4-20-xai-balanced_8x10-20260531-075934
